Age of House (in Years) (bin),Condition of the house,Living area after renovation 2,Renovation Age Group,Renovation Status,Sale Price (bin),Years Since Renovation (bin),Zipcode Group,Age of House (in Years),Area of the House from Basement (in Sqft),Basement Area (in Sqft),Condition of the House Excellent,Condition of the House Fair,Condition of the House Good,Condition of the House Okay,Count of Sales Price,Ever Renovated Yes,Flat Area (in Sqft),Latitude,Living Area after Renovation (in Sqft),Longitude,Lot Area (in Sqft),Lot Area after Renovation (in Sqft),No of Bathrooms,No of Bedrooms,No of Floors,No of Times Visited,Number of records,Overall Grade,Sale Price,Total Records,Waterfront View Yes,Years Since Renovation
20,Excellent,Large,0,Recently Renovated,515000,0,00000,22,2980,0,0,1,0,0,1,0,2980,47.3999,2630,-122.211,12534,12534,2.5,4,2,0,1,9,515000,1,0,0
20,Excellent,Large,0,Recently Renovated,665000,0,00000,22,2600,0,0,1,0,0,1,0,2600,47.5283,2950,-122.146,17388,11553,2.5,4,2,0,1,9,665000,1,0,0
20,Excellent,Large,0,Recently Renovated,460000,0,00000,22,2080,0,0,1,0,0,1,0,2080,47.4835,2550,-122.136,17532,12560,2.5,4,2,0,1,9,460000,1,0,0
20,Excellent,Large,0,Recently Renovated,512000,0,00000,22,2550,0,0,1,0,0,1,0,2550,47.4836,2840,-122.136,17209,12560,2.5,4,2,0,1,9,512000,1,0,0
20,Excellent,Large,0,Recently Renovated,629000,0,00000,22,2660,0,0,1,0,0,1,0,2660,47.4911,3060,-122.125,22050,21111,2.5,4,2,0,1,9,629000,1,0,0
20,Excellent,Large,0,Recently Renovated,920000,0,00000,22,3550,0,0,1,0,0,1,0,3550,47.5499,3310,-122.1,10233,9157,2.5,4,2,0,1,9,920000,1,0,0
20,Excellent,Medium,0,Recently Renovated,669950,0,00000,22,2670,0,0,1,0,0,1,0,2670,47.6327,2430,-122.036,11877,11333,2.5,4,2,0,1,9,669950,1,0,0
20,Excellent,Large,0,Recently Renovated,699000,0,00000,22,3280,0,0,1,0,0,1,0,3280,47.6711,3200,-122.012,27441,26960,2.5,4,2,0,1,9,699000,1,0,0
20,Excellent,Large,0,Recently Renovated,628950,0,00000,22,2540,0,0,1,0,0,1,0,2540,47.6324,2740,-121.988,32647,32647,2.5,4,2,0,1,9,628990,1,0,0
20,Excellent,Large,0,Recently Renovated,700000,0,00000,22,3010,0,0,1,0,0,1,0,3010,47.6471,2590,-121.964,46173,49222,2.5,4,2,0,1,9,700000,1,0,0
20,Excellent,Large,0,Recently Renovated,685500,0,00000,22,3130,0,0,1,0,0,1,0,3130,47.6618,2780,-121.962,60467,44224,2.5,4,2,0,1,9,685530,1,0,0
20,Excellent,Large,0,Recently Renovated,370000,0,00000,23,3090,0,0,1,0,0,1,0,3090,47.2902,3610,-122.342,18645,20114,2.5,4,2,0,1,9,370000,1,0,0
20,Excellent,Large,0,Recently Renovated,540000,0,00000,23,2329,0,0,1,0,0,1,0,2329,47.7366,2660,-122.204,9436,10252,2.5,4,2,0,1,9,540000,1,0,0
20,Excellent,Medium,0,Recently Renovated,625000,0,00000,23,2601,0,0,1,0,0,1,0,2601,47.742,2080,-122.087,34335,32336,2.5,4,2,0,1,9,625000,1,0,0
20,Excellent,Large,0,Recently Renovated,530000,0,00000,23,2940,0,0,1,0,0,1,0,2940,47.3401,2890,-122.067,35996,35089,2.5,4,2,0,1,9,530000,1,0,0
20,Excellent,Large,0,Recently Renovated,740000,0,00000,23,3000,0,0,1,0,0,1,0,3000,47.535,3140,-122.049,10392,9213,2.5,4,2,0,1,9,740000,1,0,0
20,Excellent,Medium,0,Recently Renovated,525000,0,00000,24,2520,0,0,1,0,0,1,0,2520,47.7709,2000,-122.297,7731,7704,2.5,4,2,0,1,9,525000,1,0,0
20,Excellent,Large,0,Recently Renovated,600000,0,00000,24,2420,0,0,1,0,0,1,0,2420,47.534,2820,-122.18,7744,11129,2.5,4,2,0,1,9,600000,1,0,0
20,Excellent,Large,0,Recently Renovated,548000,0,00000,24,2440,0,0,1,0,0,1,0,2440,47.5318,2590,-122.176,11005,14754,2.5,4,2,0,1,9,548000,1,0,0
20,Excellent,Large,0,Recently Renovated,379000,0,00000,24,2570,0,0,1,0,0,1,0,2570,47.3842,2770,-122.17,10155,10155,2.5,4,2,0,1,9,379000,1,0,0
20,Excellent,Large,0,Recently Renovated,728000,0,00000,24,2650,0,0,1,0,0,1,0,2650,47.6278,2650,-122.108,13684,12032,2.5,4,2,0,1,9,728000,1,0,0
20,Excellent,Large,0,Recently Renovated,785000,0,00000,24,3440,0,0,1,0,0,1,0,3440,47.6969,3150,-122.046,56192,44431,2.5,4,2,0,1,9,785000,1,0,0
20,Excellent,Large,0,Recently Renovated,620000,0,00000,24,2450,0,0,1,0,0,1,0,2450,47.6323,2730,-121.985,55387,38827,2.5,4,2,0,1,9,620000,1,0,0
20,Excellent,Large,0,Recently Renovated,500000,0,00000,24,2840,0,0,1,0,0,1,0,2840,47.7359,2500,-121.962,18001,18001,2.5,4,2,0,1,9,500000,1,0,0
20,Excellent,Large,0,Recently Renovated,598000,0,00000,24,3130,0,0,1,0,0,1,0,3130,47.4761,2760,-121.723,40918,35440,2.5,4,2,0,1,9,598000,1,0,0
20,Excellent,Medium,0,Recently Renovated,539000,0,00000,25,2340,0,0,1,0,0,1,0,2340,47.7672,1930,-122.306,19850,15439,2.5,4,2,0,1,9,539000,1,0,0
20,Excellent,Medium,0,Recently Renovated,635000,0,00000,25,2410,0,0,1,0,0,1,0,2410,47.7094,2240,-122.234,7069,7184,2.5,4,2,0,1,9,635000,1,0,0
20,Excellent,Large,0,Recently Renovated,627250,0,00000,25,2830,0,0,1,0,0,1,0,2830,47.742,2970,-122.208,10677,9619,2.5,4,2,0,1,9,627250,1,0,0
20,Excellent,Large,0,Recently Renovated,440000,0,00000,25,3080,0,0,1,0,0,1,0,3080,47.3828,2740,-122.148,10646,9994,2.5,4,2,0,1,9,440000,1,0,0
20,Excellent,Large,0,Recently Renovated,464000,0,00000,25,3140,0,0,1,0,0,1,0,3140,47.3826,2650,-122.146,12591,11720,2.5,4,2,0,1,9,464000,1,0,0
20,Excellent,Large,0,Recently Renovated,850000,0,00000,25,2900,0,0,1,0,0,1,0,2900,47.5536,2901,-122.121,9972,8567,2.5,4,2,0,1,9,850000,1,0,0
20,Excellent,Large,0,Recently Renovated,728900,0,00000,25,2980,0,0,1,0,0,1,0,2980,47.5515,2980,-122.12,10194,10053,2.5,4,2,0,1,9,728935,1,0,0
20,Excellent,Large,0,Recently Renovated,755000,0,00000,25,2660,0,0,1,0,0,1,0,2660,47.6972,2890,-122.104,10452,9025,2.5,4,2,0,1,9,755000,1,0,0
20,Excellent,Large,0,Recently Renovated,476000,0,00000,25,2740,0,0,1,0,0,1,0,2740,47.3333,2740,-122.074,33158,36074,2.5,4,2,0,1,9,476000,1,0,0
20,Excellent,Large,0,Recently Renovated,785000,0,00000,25,3270,0,0,1,0,0,1,0,3270,47.5373,3120,-122.051,9578,8784,2.5,4,2,0,1,9,785000,1,0,0
20,Excellent,Large,0,Recently Renovated,894000,0,00000,25,3800,0,0,1,0,0,1,0,3800,47.6734,3170,-122.026,22029,24979,2.5,4,2,0,1,9,894000,1,0,0
20,Excellent,Large,0,Recently Renovated,715000,0,00000,25,2970,0,0,1,0,0,1,0,2970,47.6717,3100,-122.025,29163,31105,2.5,4,2,0,1,9,715000,1,0,0
20,Excellent,Large,0,Recently Renovated,785000,0,00000,25,3230,0,0,1,0,0,1,0,3230,47.6318,3230,-122.01,21781,21780,2.5,4,2,0,1,9,785000,1,0,0
20,Excellent,Medium,0,Recently Renovated,633100,0,00000,25,2470,0,0,1,0,0,1,0,2470,47.6303,2440,-121.99,33305,33305,2.5,4,2,0,1,9,633100,1,0,0
20,Excellent,Large,0,Recently Renovated,735000,0,00000,25,3270,0,0,1,0,0,1,0,3270,47.6303,2670,-121.984,45537,38827,2.5,4,2,0,1,9,735000,1,0,0
20,Excellent,Large,0,Recently Renovated,550000,0,00000,26,2810,0,0,1,0,0,1,0,2810,47.7441,2750,-122.173,7549,7642,2.5,4,2,0,1,9,550000,1,0,0
20,Excellent,Medium,0,Recently Renovated,350900,0,00000,26,2540,0,0,1,0,0,1,0,2540,47.3866,2410,-122.169,12843,9383,2.5,4,2,0,1,9,350900,1,0,0
20,Excellent,Medium,0,Recently Renovated,587000,0,00000,26,2550,0,0,1,0,0,1,0,2550,47.7742,2460,-122.166,6256,8256,2.5,4,2,0,1,9,587000,1,0,0
20,Excellent,Medium,0,Recently Renovated,752850,0,00000,26,2800,0,0,1,0,0,1,0,2800,47.7432,2280,-122.112,72309,36420,2.5,4,2,0,1,9,752875,1,0,0
20,Excellent,Large,0,Recently Renovated,612500,0,00000,26,2550,0,0,1,0,0,1,0,2550,47.5695,2750,-121.992,10623,8100,2.5,4,2,0,1,9,612500,1,0,0
20,Excellent,Large,0,Recently Renovated,658100,0,00000,26,2430,0,0,1,0,0,1,0,2430,47.5714,2760,-121.991,8509,8509,2.5,4,2,0,1,9,658100,1,0,0
20,Excellent,Large,0,Recently Renovated,642000,0,00000,26,2560,0,0,1,0,0,1,0,2560,47.5717,2780,-121.991,8780,8357,2.5,4,2,0,1,9,642000,1,0,0
20,Excellent,Large,0,Recently Renovated,389950,0,00000,27,3140,0,0,1,0,0,1,0,3140,47.3091,3000,-122.343,8060,8060,2.5,4,2,0,1,9,389950,1,0,0
20,Excellent,Large,0,Recently Renovated,570000,0,00000,27,2590,0,0,1,0,0,1,0,2590,47.738,2660,-122.221,8483,8717,2.5,4,2,0,1,9,570000,1,0,0
20,Excellent,Large,0,Recently Renovated,612500,0,00000,27,2730,0,0,1,0,0,1,0,2730,47.7419,2730,-122.205,12261,10872,2.5,4,2,0,1,9,612500,1,0,0
20,Excellent,Large,0,Recently Renovated,771000,0,00000,27,2420,0,0,1,0,0,1,0,2420,47.6893,2650,-122.197,7200,7800,2.5,4,2,0,1,9,771000,1,0,0
20,Excellent,Large,0,Recently Renovated,562500,0,00000,27,2440,0,0,1,0,0,1,0,2440,47.5357,2590,-122.179,7322,9927,2.5,4,2,0,1,9,562500,1,0,0
20,Excellent,Large,0,Recently Renovated,756000,0,00000,27,2730,0,0,1,0,0,1,0,2730,47.5414,3090,-122.133,10753,10740,2.5,4,2,0,1,9,756000,1,0,0
20,Excellent,Large,0,Recently Renovated,690000,0,00000,27,3220,0,0,1,0,0,1,0,3220,47.7547,3050,-122.114,35400,35252,2.5,4,2,0,1,9,690000,1,0,0
20,Excellent,Large,0,Recently Renovated,640000,0,00000,27,2500,0,0,1,0,0,1,0,2500,47.6251,2770,-122.026,7417,8188,2.5,4,2,0,1,9,640000,1,0,0
20,Excellent,Medium,0,Recently Renovated,470000,0,00000,27,2310,0,0,1,0,0,1,0,2310,47.7351,2410,-121.964,14023,14007,2.5,4,2,0,1,9,470000,1,0,0
20,Excellent,Large,0,Recently Renovated,533300,0,00000,27,2770,0,0,1,0,0,1,0,2770,47.4815,2500,-121.768,21806,21656,2.5,4,2,0,1,9,533300,1,0,0
20,Excellent,Large,0,Recently Renovated,799900,0,00000,27,1580,1450,0,1,0,0,1,0,3030,47.689,2840,-122.196,7800,7435,2.5,4,2,0,1,9,799900,1,0,0
20,Excellent,Large,0,Recently Renovated,360000,0,00000,28,2390,0,0,1,0,0,1,0,2390,47.3385,2590,-122.264,7056,7801,2.5,4,2,0,1,9,360000,1,0,0
20,Excellent,Large,0,Recently Renovated,372000,0,00000,28,2520,0,0,1,0,0,1,0,2520,47.3893,2540,-122.216,9604,9793,2.5,4,2,0,1,9,372000,1,0,0
20,Excellent,Large,0,Recently Renovated,422500,0,00000,28,2550,0,0,1,0,0,1,0,2550,47.3979,2630,-122.212,8824,11237,2.5,4,2,0,1,9,422500,1,0,0
20,Excellent,Large,0,Recently Renovated,442000,0,00000,28,2520,0,0,1,0,0,1,0,2520,47.5148,2570,-122.159,7253,8359,2.5,4,2,0,1,9,442000,1,0,0
20,Excellent,Medium,0,Recently Renovated,683000,0,00000,28,2620,0,0,1,0,0,1,0,2620,47.6732,2430,-122.143,10489,7701,2.5,4,2,0,1,9,683000,1,0,0
20,Excellent,Large,0,Recently Renovated,561600,0,00000,28,2350,0,0,1,0,0,1,0,2350,47.6262,2590,-122.045,6624,11240,2.5,4,2,0,1,9,561600,1,0,0
20,Excellent,Medium,0,Recently Renovated,560000,0,00000,28,2300,0,0,1,0,0,1,0,2300,47.6273,2280,-122.034,7989,8835,2.5,4,2,0,1,9,560000,1,0,0
20,Excellent,Medium,0,Recently Renovated,749950,0,00000,28,2620,0,0,1,0,0,1,0,2620,47.6272,2260,-122.033,8312,8515,2.5,4,2,0,1,9,749950,1,0,0
20,Excellent,Large,0,Recently Renovated,735000,0,00000,28,3100,0,0,1,0,0,1,0,3100,47.6252,2710,-122.029,8529,8344,2.5,4,2,0,1,9,735000,1,0,0
20,Excellent,Large,0,Recently Renovated,690000,0,00000,28,2820,0,0,1,0,0,1,0,2820,47.6253,2820,-122.027,8307,8307,2.5,4,2,0,1,9,690000,1,0,0
20,Excellent,Medium,0,Recently Renovated,645000,0,00000,28,2340,0,0,1,0,0,1,0,2340,47.6283,2340,-122.026,8955,8955,2.5,4,2,0,1,9,645000,1,0,0
20,Excellent,Medium,0,Recently Renovated,650000,0,00000,28,2400,0,0,1,0,0,1,0,2400,47.5707,2330,-122.022,7351,7756,2.5,4,2,0,1,9,650000,1,0,0
20,Excellent,Large,0,Recently Renovated,652500,0,00000,28,2700,0,0,1,0,0,1,0,2700,47.5771,2500,-121.994,9122,9122,2.5,4,2,0,1,9,652500,1,0,0
20,Excellent,Large,0,Recently Renovated,639000,0,00000,28,2500,0,0,1,0,0,1,0,2500,47.5759,2560,-121.994,8540,8475,2.5,4,2,0,1,9,639000,1,0,0
20,Excellent,Small,0,Recently Renovated,883000,0,00000,28,2170,630,0,1,0,0,1,0,2800,47.6215,1430,-122.29,6874,6240,2.5,4,2,0,1,9,883000,1,0,0
20,Excellent,Medium,0,Recently Renovated,335000,0,00000,29,2240,0,0,1,0,0,1,0,2240,47.3086,2240,-122.392,9701,9410,2.5,4,2,0,1,9,335000,1,0,0
20,Excellent,Large,0,Recently Renovated,368000,0,00000,29,2720,0,0,1,0,0,1,0,2720,47.3028,2570,-122.35,7350,8336,2.5,4,2,0,1,9,368000,1,0,0
20,Excellent,Medium,0,Recently Renovated,347500,0,00000,29,2460,0,0,1,0,0,1,0,2460,47.3061,2390,-122.349,7350,8568,2.5,4,2,0,1,9,347500,1,0,0
20,Excellent,Medium,0,Recently Renovated,369000,0,00000,29,2550,0,0,1,0,0,1,0,2550,47.3059,2400,-122.349,7349,8508,2.5,4,2,0,1,9,369000,1,0,0
20,Excellent,Large,0,Recently Renovated,925000,0,00000,29,3110,0,0,1,0,0,1,0,3110,47.6833,2850,-122.271,11422,7254,2.5,4,2,0,1,9,925000,1,0,0
20,Excellent,Large,0,Recently Renovated,560000,0,00000,29,2280,0,0,1,0,0,1,0,2280,47.7099,2670,-122.229,9874,9782,2.5,4,2,0,1,9,560000,1,0,0
20,Excellent,Large,0,Recently Renovated,1010000,0,00000,29,2980,0,0,1,0,0,1,0,2980,47.5457,2730,-122.153,16263,10018,2.5,4,2,0,1,9,1010000,1,0,0
20,Excellent,Large,0,Recently Renovated,805000,0,00000,29,2910,0,0,1,0,0,1,0,2910,47.5451,2530,-122.142,9000,9000,2.5,4,2,0,1,9,805000,1,0,0
20,Excellent,Large,0,Recently Renovated,810000,0,00000,29,2810,0,0,1,0,0,1,0,2810,47.5424,2800,-122.141,10613,9933,2.5,4,2,0,1,9,810000,1,0,0
20,Excellent,Large,0,Recently Renovated,803000,0,00000,29,2790,0,0,1,0,0,1,0,2790,47.6692,2740,-122.136,7673,7837,2.5,4,2,0,1,9,803000,1,0,0
20,Excellent,Large,0,Recently Renovated,475000,0,00000,29,2120,0,0,1,0,0,1,0,2120,47.7611,3320,-122.128,57050,39082,2.5,4,2,0,1,9,475000,1,0,0
20,Excellent,Large,0,Recently Renovated,595000,0,00000,29,2360,0,0,1,0,0,1,0,2360,47.774,2750,-122.077,43017,40334,2.5,4,2,0,1,9,595000,1,0,0
20,Excellent,Large,0,Recently Renovated,763750,0,00000,29,2750,0,0,1,0,0,1,0,2750,47.5843,2810,-122.06,16139,13093,2.5,4,2,0,1,9,763776,1,0,0
20,Excellent,Large,0,Recently Renovated,594950,0,00000,29,2720,0,0,1,0,0,1,0,2720,47.6295,2720,-122.042,10006,10759,2.5,4,2,0,1,9,594950,1,0,0
20,Excellent,Medium,0,Recently Renovated,638250,0,00000,29,2460,0,0,1,0,0,1,0,2460,47.6262,2420,-122.03,8029,7987,2.5,4,2,0,1,9,638250,1,0,0
20,Excellent,Medium,0,Recently Renovated,675750,0,00000,29,2770,0,0,1,0,0,1,0,2770,47.5748,2270,-122.018,10274,7210,2.5,4,2,0,1,9,675750,1,0,0
20,Excellent,Medium,0,Recently Renovated,689000,0,00000,29,2240,0,0,1,0,0,1,0,2240,47.5652,2200,-122.013,7350,8017,2.5,4,2,0,1,9,689000,1,0,0
20,Excellent,Large,0,Recently Renovated,648000,0,00000,29,2740,0,0,1,0,0,1,0,2740,47.5672,2630,-122.011,9959,9905,2.5,4,2,0,1,9,648000,1,0,0
20,Excellent,Large,0,Recently Renovated,604000,0,00000,29,2260,0,0,1,0,0,1,0,2260,47.5752,2690,-121.995,7753,8924,2.5,4,2,0,1,9,604000,1,0,0
20,Excellent,Large,0,Recently Renovated,620000,0,00000,29,2680,0,0,1,0,0,1,0,2680,47.5738,2810,-121.992,9185,8505,2.5,4,2,0,1,9,620000,1,0,0
20,Excellent,Large,0,Recently Renovated,585000,0,00000,29,2330,0,0,1,0,0,1,0,2330,47.5842,2930,-121.992,45860,5020,2.5,4,2,0,1,9,585000,1,0,0
30,Excellent,Medium,0,Recently Renovated,317000,0,00000,30,2160,0,0,1,0,0,1,0,2160,47.3337,2490,-122.26,8049,8995,2.5,4,2,0,1,9,317000,1,0,0
30,Excellent,Large,0,Recently Renovated,950000,0,00000,30,3360,0,0,1,0,0,1,0,3360,47.6534,3400,-122.182,11548,14091,2.5,4,2,0,1,9,950000,1,0,0
30,Excellent,Medium,0,Recently Renovated,699000,0,00000,30,2550,0,0,1,0,0,1,0,2550,47.6441,2330,-122.113,7312,7480,2.5,4,2,0,1,9,699000,1,0,0
30,Excellent,Medium,0,Recently Renovated,781000,0,00000,30,2590,0,0,1,0,0,1,0,2590,47.691,2360,-122.105,8571,8155,2.5,4,2,0,1,9,781000,1,0,0
30,Excellent,Large,0,Recently Renovated,725000,0,00000,30,3420,0,0,1,0,0,1,0,3420,47.7745,2940,-122.088,30410,45916,2.5,4,2,0,1,9,725000,1,0,0
30,Excellent,Large,0,Recently Renovated,623000,0,00000,30,2710,0,0,1,0,0,1,0,2710,47.774,2560,-122.08,49044,38190,2.5,4,2,0,1,9,623000,1,0,0
30,Excellent,Large,0,Recently Renovated,775000,0,00000,30,3180,0,0,1,0,0,1,0,3180,47.5172,3020,-122.053,15358,15522,2.5,4,2,0,1,9,775000,1,0,0
30,Excellent,Large,0,Recently Renovated,765000,0,00000,30,3190,0,0,1,0,0,1,0,3190,47.6698,2560,-122.044,38119,36280,2.5,4,2,0,1,9,765000,1,0,0
30,Excellent,Large,0,Recently Renovated,674700,0,00000,30,2700,0,0,1,0,0,1,0,2700,47.5685,2760,-122.012,10160,9219,2.5,4,2,0,1,9,674725,1,0,0
30,Excellent,Medium,0,Recently Renovated,620000,0,00000,30,2130,0,0,1,0,0,1,0,2130,47.5648,2150,-122.01,9139,8178,2.5,4,2,0,1,9,620000,1,0,0
30,Excellent,Medium,0,Recently Renovated,845000,0,00000,30,1760,630,0,1,0,0,1,0,2390,47.6144,1940,-122.283,5071,5071,2.5,4,2,0,1,9,845000,1,0,0
30,Excellent,Large,0,Recently Renovated,325000,0,00000,31,2610,0,0,1,0,0,1,0,2610,47.3017,2610,-122.349,7091,7773,2.5,4,2,0,1,9,325000,1,0,0
30,Excellent,Large,0,Recently Renovated,982000,0,00000,31,2790,0,0,1,0,0,1,0,2790,47.5483,2650,-122.158,10289,10126,2.5,4,2,0,1,9,982000,1,0,0
30,Excellent,Medium,0,Recently Renovated,749500,0,00000,31,2440,0,0,1,0,0,1,0,2440,47.6613,2370,-122.132,9727,11503,2.5,4,2,0,1,9,749500,1,0,0
30,Excellent,Large,0,Recently Renovated,654950,0,00000,31,2790,0,0,1,0,0,1,0,2790,47.7674,2890,-122.086,45902,42421,2.5,4,2,0,1,9,654950,1,0,0
30,Excellent,Large,0,Recently Renovated,575000,0,00000,31,2510,0,0,1,0,0,1,0,2510,47.7699,2600,-122.085,47044,42612,2.5,4,2,0,1,9,575000,1,0,0
30,Excellent,Large,0,Recently Renovated,606000,0,00000,31,2110,0,0,1,0,0,1,0,2110,47.5497,2520,-122.077,13850,10194,2.5,4,2,0,1,9,606000,1,0,0
30,Excellent,Large,0,Recently Renovated,652500,0,00000,31,2540,0,0,1,0,0,1,0,2540,47.6694,2560,-122.044,38677,36280,2.5,4,2,0,1,9,652500,1,0,0
30,Excellent,Large,0,Recently Renovated,720000,0,00000,31,2440,0,0,1,0,0,1,0,2440,47.6685,2860,-122.044,34290,38119,2.5,4,2,0,1,9,720000,1,0,0
30,Excellent,Medium,0,Recently Renovated,565000,0,00000,31,2330,0,0,1,0,0,1,0,2330,47.6269,2460,-122.03,7936,8137,2.5,4,2,0,1,9,565000,1,0,0
30,Excellent,Medium,0,Recently Renovated,557850,0,00000,31,3030,0,0,1,0,0,1,0,3030,47.6296,2310,-122.029,6813,8682,2.5,4,2,0,1,9,557865,1,0,0
30,Excellent,Medium,0,Recently Renovated,695000,0,00000,31,2960,0,0,1,0,0,1,0,2960,47.5677,2480,-122.013,10760,9528,2.5,4,2,0,1,9,695000,1,0,0
30,Excellent,Large,0,Recently Renovated,590000,0,00000,31,2340,0,0,1,0,0,1,0,2340,47.5679,2510,-122.011,8971,9219,2.5,4,2,0,1,9,590000,1,0,0
30,Excellent,Large,0,Recently Renovated,645000,0,00000,31,2850,0,0,1,0,0,1,0,2850,47.5852,2980,-121.992,37522,35280,2.5,4,2,0,1,9,645000,1,0,0
30,Excellent,Medium,0,Recently Renovated,732350,0,00000,32,2270,0,0,1,0,0,1,0,2270,47.6612,2450,-122.148,7665,8706,2.5,4,2,0,1,9,732350,1,0,0
30,Excellent,Large,0,Recently Renovated,760000,0,00000,32,2730,0,0,1,0,0,1,0,2730,47.7036,2710,-122.127,36183,5964,2.5,4,2,0,1,9,760000,1,0,0
30,Excellent,Medium,0,Recently Renovated,590000,0,00000,32,2290,0,0,1,0,0,1,0,2290,47.6283,2340,-122.03,11072,9774,2.5,4,2,0,1,9,590000,1,0,0
30,Excellent,Large,0,Recently Renovated,675000,0,00000,32,2940,0,0,1,0,0,1,0,2940,47.5627,2670,-122.018,14071,10982,2.5,4,2,0,1,9,675000,1,0,0
30,Excellent,Medium,0,Recently Renovated,609000,0,00000,33,2150,0,0,1,0,0,1,0,2150,47.7227,2450,-122.098,37981,37981,2.5,4,2,0,1,9,609000,1,0,0
30,Excellent,Medium,0,Recently Renovated,520000,0,00000,33,2150,340,0,1,0,0,1,0,2490,47.4823,2490,-122.031,34947,39639,2.5,4,2,0,1,9,520000,1,0,0
30,Excellent,Large,0,Recently Renovated,1129550,0,00000,34,2740,0,0,1,0,0,1,0,2740,47.6353,2760,-122.229,16007,16008,2.5,4,2,0,1,9,1129575,1,0,0
30,Excellent,Large,0,Recently Renovated,645000,0,00000,35,3160,0,0,1,0,0,1,0,3160,47.6318,2970,-122.039,11380,10385,2.5,4,2,0,1,9,645000,1,0,0
30,Excellent,Medium,0,Recently Renovated,616000,0,00000,35,2490,0,0,1,0,0,1,0,2490,47.6161,2440,-122.021,12929,12929,2.5,4,2,0,1,9,616000,1,0,0
30,Excellent,Large,0,Recently Renovated,640000,0,00000,36,2320,0,0,1,0,0,1,0,2320,47.6443,2820,-122.194,11259,11770,2.5,4,2,0,1,9,640000,1,0,0
30,Excellent,Large,0,Recently Renovated,710000,0,00000,38,2870,0,0,1,0,0,1,0,2870,47.5547,2690,-122.154,11304,9940,2.5,4,2,0,1,9,710000,1,0,0
30,Excellent,Large,0,Recently Renovated,682000,0,00000,39,3400,200,0,1,0,0,1,0,3600,47.7597,3150,-122.018,203425,202989,2.5,4,2,0,1,9,682000,1,0,0
40,Excellent,Large,0,Recently Renovated,680000,0,00000,40,3030,0,0,1,0,0,1,0,3030,47.6313,2940,-122.172,13068,11999,2.5,4,2,0,1,9,680000,1,0,0
40,Excellent,Large,0,Recently Renovated,722500,0,00000,40,2460,0,0,1,0,0,1,0,2460,47.6125,2730,-122.152,9296,9900,2.5,4,2,0,1,9,722500,1,0,0
40,Excellent,Medium,0,Recently Renovated,449950,0,00000,40,3100,0,0,1,0,0,1,0,3100,47.3741,1850,-122.15,10000,9438,2.5,4,2,0,1,9,449950,1,0,0
90,Excellent,Medium,0,Recently Renovated,1129550,0,00000,91,2480,990,0,1,0,0,1,0,3470,47.63,2280,-122.363,4160,5440,2.5,4,2,0,1,9,1129575,1,0,0
90,Excellent,Large,0,Recently Renovated,1129550,0,00000,94,2150,240,0,1,0,0,1,0,2390,47.6272,2800,-122.318,4200,5250,2.5,4,2,0,1,9,1129575,1,0,0
90,Excellent,Medium,0,Recently Renovated,880000,0,00000,95,2150,200,0,1,0,0,1,0,2350,47.6344,2240,-122.305,4675,3848,2.5,4,2,0,1,9,880000,1,0,0
0,Excellent,Medium,0,Recently Renovated,671000,0,00000,3,1200,690,0,1,0,0,1,0,1890,47.6472,1650,-122.383,1475,1682,2.75,4,2,0,1,9,671000,1,0,0
0,Excellent,Medium,0,Recently Renovated,689000,0,00000,4,3250,0,0,1,0,0,1,0,3250,47.7557,1620,-122.309,10000,10089,2.75,4,2,0,1,9,689000,1,0,0
0,Excellent,Medium,0,Recently Renovated,495000,0,00000,4,2656,0,0,1,0,0,1,0,2656,47.3162,1860,-122.272,21195,16510,2.75,4,2,0,1,9,495000,1,0,0
0,Excellent,Large,0,Recently Renovated,978000,0,00000,4,2890,0,0,1,0,0,1,0,2890,47.554,2890,-122.189,7821,10108,2.75,4,2,0,1,9,978000,1,0,0
0,Excellent,Large,0,Recently Renovated,908950,0,00000,4,3090,0,0,1,0,0,1,0,3090,47.5538,2890,-122.189,6200,10108,2.75,4,2,0,1,9,908950,1,0,0
0,Excellent,Large,0,Recently Renovated,839950,0,00000,4,3010,0,0,1,0,0,1,0,3010,47.6948,3010,-122.179,7200,7203,2.75,4,2,0,1,9,839950,1,0,0
0,Excellent,Large,0,Recently Renovated,879950,0,00000,4,3010,0,0,1,0,0,1,0,3010,47.6952,3010,-122.178,7215,7215,2.75,4,2,0,1,9,879950,1,0,0
0,Excellent,Large,0,Recently Renovated,879950,0,00000,4,3020,0,0,1,0,0,1,0,3020,47.6948,3010,-122.178,7203,7215,2.75,4,2,0,1,9,879950,1,0,0
0,Excellent,Large,0,Recently Renovated,889950,0,00000,4,3080,0,0,1,0,0,1,0,3080,47.6948,3010,-122.178,7242,7205,2.75,4,2,0,1,9,889950,1,0,0
0,Excellent,Medium,0,Recently Renovated,982000,0,00000,4,3610,0,0,1,0,0,1,0,3610,47.6706,2360,-122.173,8580,8580,2.75,4,2,0,1,9,982000,1,0,0
0,Excellent,Medium,0,Recently Renovated,939000,0,00000,4,3270,0,0,1,0,0,1,0,3270,47.6679,2420,-122.172,12880,7505,2.75,4,2,0,1,9,939000,1,0,0
0,Excellent,Medium,0,Recently Renovated,860000,0,00000,4,3160,0,0,1,0,0,1,0,3160,47.6709,2200,-122.166,8097,8097,2.75,4,2,0,1,9,860000,1,0,0
